year,category,n,Num_Trans,Area,Property_Type
2010,1 KING ALBERT PARK,1084,13,Bukit Timah,Condominium
2010,1 MOULMEIN RISE,1333,5,Novena,Apartment
2010,11 AMBER ROAD,1138,3,Marine Parade,Apartment
2010,2 RVG,1570,9,River Valley,Apartment
2010,21 ANDERSON ROYAL OAK RESIDENCE,2440,1,Tanglin,Condominium
2010,28 SHELFORD,1174,5,Bukit Timah,Apartment
2010,3@PHILLIPS,701,3,Hougang,Apartment
2010,3@SANDILANDS,809,1,Hougang,Apartment
2010,3BHC,452,1,Bishan,Semi-Detached House
2010,8 @ MOUNT SOPHIA,1420,24,Rochor,Condominium
2010,8 @ STRATTON,372,1,Serangoon,Semi-Detached House
2010,8 EDEN GROVE,719,5,Serangoon,Apartment
2010,8 ON CHUAN,717,1,Serangoon,Terrace House
2010,AA CENTRE,972,4,River Valley,Apartment
2010,ABELIA,2500,1,Newton,Apartment
2010,ADAM PARK CONDOMINIUM,1109,14,Bukit Timah,Condominium
2010,ADAM PLACE,1066,2,Bukit Timah,Apartment
2010,ADELPHI PARK ESTATE,840,9,Bishan,Detached House
2010,AIRVIEW PARK,946,5,Bukit Timah,Terrace House
2010,ALEGRIA,1165,1,Novena,Apartment
2010,ALESSANDREA,1038,15,Bukit Merah,Apartment
2010,ALLAMANDA GROVE,1779,1,Bukit Timah,Semi-Detached House
2010,ALLSWORTH PARK,1332,10,Bukit Timah,Condominium
2010,ALWYN PARK,1003,1,Hougang,Terrace House
2010,AMANINDA,1250,11,Novena,Condominium
2010,AMARANDA GARDENS,1036,15,Serangoon,Condominium
2010,AMARYLLIS VILLE,1265,54,Novena,Condominium
2010,AMBER PARK,1157,5,Marine Parade,Condominium
2010,AMBER POINT,1050,5,Marine Parade,Condominium
2010,AMPAS APARTMENT,820,4,Novena,Apartment
2010,APLETON VIEW,1253,2,Novena,Apartment
2010,APOLLO GARDENS,684,5,Tampines,Apartment
2010,AQUARINE GARDENS,845,1,Bedok,Apartment
2010,AQUARIUS BY THE PARK,701,82,Bedok,Condominium
2010,AQUENE,985,6,Bedok,Apartment
2010,ARDISIA GARDEN,572,2,Serangoon,Terrace House
2010,ARDMORE PARK,3245,17,Newton,Condominium
2010,ARTHUR 118,1211,10,Marine Parade,Apartment
2010,ARTHUR MANSIONS,1006,2,Marine Parade,Condominium
2010,ASIA GARDENS,1135,1,Bukit Merah,Condominium
2010,ASIMONT @ BARKER,950,1,Novena,Condominium
2010,ASPEN HEIGHTS,1370,48,River Valley,Condominium
2010,ASPEN LOFT,761,4,Geylang,Apartment
2010,ASTON MANSIONS,631,30,Geylang,Apartment
2010,ASTOR,749,5,Bedok,Apartment
2010,ASTOR GREEN,904,26,Bukit Timah,Condominium
2010,ASTORIA PARK,811,39,Bedok,Condominium
2010,ASTRID MEADOWS,1497,13,Bukit Timah,Condominium
2010,ASTRIDVILLE,1125,1,Bukit Timah,Condominium
2010,ATELIER VILLAS,525,4,Ang Mo Kio,Terrace House
2010,ATRIUM RESIDENCES,660,32,Geylang,Apartment
2010,AVA TOWERS,757,14,Novena,Apartment
2010,AVALON,1664,5,Tanglin,Condominium
2010,AVILA GARDENS,697,26,Pasir Ris,Condominium
2010,AVILA TERRACE,843,5,Pasir Ris,Terrace House
2010,AVON PARK,833,11,Toa Payoh,Condominium
2010,AXIS @ SIGLAP,926,2,Bedok,Apartment
2010,AZALEA PARK CONDOMINIUM,618,22,Pasir Ris,Condominium
2010,BAGNALL COURT,751,1,Bedok,Condominium
2010,BALESTIER 288,977,1,Novena,Apartment
2010,BALESTIER PLAZA,707,10,Novena,Apartment
2010,BALESTIER POINT,747,5,Novena,Apartment
2010,BALESTIER REGENCY,654,1,Novena,Apartment
2010,BALESTIER TOWERS,732,2,Novena,Apartment
2010,BALLOTA PARK CONDOMINIUM,600,42,Pasir Ris,Condominium
2010,BALMORAL 8,1692,5,Newton,Condominium
2010,BALMORAL CREST,1507,4,Newton,Apartment
2010,BALMORAL GATE,1346,1,Tanglin,Condominium
2010,BALMORAL HEIGHTS,1596,7,Newton,Apartment
2010,BALMORAL HILLS,1933,4,Tanglin,Condominium
2010,BALMORAL POINT,1397,3,Tanglin,Apartment
2010,BALMORAL RESIDENCES,1583,7,Newton,Condominium
2010,BALMY COURT,648,2,Geylang,Apartment
2010,BAN GUAN PARK,1330,13,Bukit Timah,Detached House
2010,BANYAN CONDOMINIUM,787,7,Queenstown,Condominium
2010,BANYAN PARK,1143,6,Queenstown,Terrace House
2010,BANYAN VILLAS,948,1,Ang Mo Kio,Terrace House
2010,BAODE BUILDING,535,1,Geylang,Apartment
